text_id,source,created_utc,text,district,place_id,place_name,lat,lon,category,sentiment_label,sentiment_score,topic
demo_002908,demo,2023-01-04 05:45:00+00:00,"To be fair, we shared a few small plates at Bath Arms and every single one was delicious.",the_lanes,node/1135615936,Bath Arms,50.8221092,-0.1410413,nightlife,pos,0.9998559951782228,food
demo_007768,demo,2023-01-04 08:20:00+00:00,"Gorgeous day on the Seafront, sea was calm and the light was perfect.",seafront,way/934674702,Capri Ices,50.8249348,-0.1750872,cafe,pos,0.999885082244873,unknown
demo_006643,demo,2023-01-05 05:30:00+00:00,"Bit of a mixed one: Hove is much like it always was, familiar in a comfortable way.",hove,node/1123981226,The Seafield,50.8280759,-0.1748118,nightlife,pos,0.998817503452301,unknown
demo_006800,demo,2023-01-05 13:40:00+00:00,"Popped in on the way home, the atmosphere in Seafront has really gone downhill in the last couple of years. had some antisocial behaviour outside Cookbookbake, police were called.",seafront,way/934674695,Cookbookbake,50.8250091,-0.1756677,shopping,neg,-0.9994407296180724,safety
demo_008961,demo,2023-01-05 19:38:00+00:00,"Honestly the meal at Trading Post Coffee Roasters was forgettable, wouldn't order it again.",the_lanes,node/11074221072,Trading Post Coffee Roasters,50.8235311,-0.1448484,cafe,neg,-0.996135711669922,food
demo_007532,demo,2023-01-06 12:17:00+00:00,"Honestly, everything in The Lanes feels overpriced now, priced out of my own neighbourhood.",the_lanes,way/137389409,Club Revenge,50.8201611,-0.1364042,nightlife,neu,-0.9854735136032104,price
demo_008978,demo,2023-01-06 13:13:00+00:00,"Popped in on the way home, brilliant night out in The Lanes, Furna was exactly what we needed. That said, the atmosphere in The Lanes has really gone downhill in the last couple of years.",the_lanes,node/6203842000,Furna,50.8230662,-0.1397571,food,neu,-0.989443063735962,atmosphere
demo_002156,demo,2023-01-06 15:40:00+00:00,"Bit of a mixed one: Hove is much like it always was, familiar in a comfortable way. Also, Hove is about as clean as any city centre, which isn't saying much.",hove,node/13831971634,Wings,50.8340117,-0.192022,food,neu,-0.6832083463668823,cleanliness
demo_006384,demo,2023-01-06 19:25:00+00:00,"Honestly, staff at The Claremont were friendly and attentive without hovering.",hove,node/9093919466,The Claremont,50.8263533,-0.1666892,accommodation,pos,0.997356653213501,service
demo_006471,demo,2023-01-06 23:41:00+00:00,"Kemptown looked properly clean this week, someone's clearly been on it and actually found parking near Budgens without circling for an hour, small miracle.",kemptown,node/8688063734,Budgens,50.8193882,-0.127191,shopping,neu,0.9435259699821472,cleanliness
demo_003260,demo,2023-01-07 07:14:00+00:00,"Been going for years and staff at Bread & Milk were friendly and attentive without hovering. On top of that, North Laine on a sunny afternoon is genuinely one of my favourite places to be.",north_laine,node/6241385936,Bread & Milk,50.8282874,-0.1379705,cafe,pos,0.9997491240501404,service
demo_003868,demo,2023-01-07 13:24:00+00:00,"The atmosphere in North Laine has really gone downhill in the last couple of years. honestly the meal at Two Wolves Kitchen was forgettable, wouldn't order it again.",north_laine,node/6514718284,Two Wolves Kitchen,50.826495,-0.1400182,food,neg,-0.999446451663971,food
demo_008058,demo,2023-01-08 03:01:00+00:00,"Typical changeable weather on the Seafront, four seasons in an afternoon.",seafront,way/934674704,Fit State Training,50.8250012,-0.1758454,outdoor,neu,-0.5260263085365295,unknown
demo_007131,demo,2023-01-08 03:31:00+00:00,"Popped in on the way home, Kemptown is about as clean as any city centre, which isn't saying much.",kemptown,node/8730938568,Coffee Tzar,50.8194447,-0.1233233,cafe,neg,-0.9956063628196716,cleanliness
demo_002319,demo,2023-01-08 05:26:00+00:00,"First time visiting and parking in The Lanes is a nightmare, drove around for 45 minutes and the atmosphere in The Lanes has really gone downhill in the last couple of years.",the_lanes,node/9842236529,Oliver Bonas,50.8226338,-0.140191,shopping,neg,-0.9993152618408204,atmosphere
demo_006495,demo,2023-01-08 06:38:00+00:00,"Honestly, far too crowded in The Lanes, lost all the charm it has midweek although busy but manageable in The Lanes, nice to see the place alive again.",the_lanes,way/137389399,Bar Revenge,50.8201023,-0.1358868,nightlife,pos,0.9978748559951782,crowds
demo_002522,demo,2023-01-08 12:43:00+00:00,"Honestly, went to Hudsons for lunch, food was fine, nothing remarkable either way.",kemptown,node/9950996457,Hudsons,50.8217582,-0.1310631,accommodation,neu,0.9728274941444396,food
demo_006905,demo,2023-01-08 12:54:00+00:00,"To be fair, service at Daily Basket was ok, a bit slow but they were clearly short staffed.",hove,node/13831971653,Daily Basket,50.8334883,-0.1876184,shopping,neg,-0.9992856383323668,service
demo_005637,demo,2023-01-09 12:43:00+00:00,First time visiting and prices at Smart Sea View Brighton hotel are about what you'd expect for Seafront these days.,seafront,node/1508670786,Smart Sea View Brighton hotel,50.8252598,-0.1750037,accommodation,neu,0.9945912957191468,unknown
demo_005698,demo,2023-01-09 13:33:00+00:00,"Quick update for anyone asking: there's a proper community feel around Pelicano, everyone knows each other.",hove,node/13158376856,Pelicano,50.8335739,-0.1860605,cafe,pos,0.996044397354126,unknown
demo_001486,demo,2023-01-09 16:35:00+00:00,"Quick update for anyone asking: we shared a few small plates at The Sussex and every single one was delicious. Downside is The Lanes has got so expensive, The Sussex charged me nearly a tenner for a pint.",the_lanes,node/1343324651,The Sussex,50.8212874,-0.1394017,nightlife,neu,0.9924210906028748,food
demo_000803,demo,2023-01-10 09:01:00+00:00,"Had brunch at Maré by Rafael Cagali and the portions were generous and properly tasty. That said, got a ticket outside Maré by Rafael Cagali within ten minutes, absolute joke.",hove,node/1123948390,Maré by Rafael Cagali,50.8273828,-0.169264,food,pos,0.9964889287948608,food
demo_002326,demo,2023-01-10 18:15:00+00:00,"Went last weekend and North Laine is much like it always was, familiar in a comfortable way. Also, did a bit of shopping around Coffee at 33, usual mix of stuff.",north_laine,node/6241385931,Coffee at 33,50.8282841,-0.1388556,cafe,pos,0.9992988109588624,unknown
demo_001423,demo,2023-01-11 06:12:00+00:00,"Not sure if it's just me but North Laine is about as clean as any city centre, which isn't saying much.",north_laine,node/6514916341,Blend & Brew Brighton,50.8284303,-0.1400031,cafe,neg,-0.9984001517295836,cleanliness
demo_008419,demo,2023-01-11 18:51:00+00:00,"First time visiting and went out in Kemptown, decent enough night, nothing special and Kemptown is much like it always was, familiar in a comfortable way.",kemptown,node/1115941392,Lantern Theatre,50.8202221,-0.1307001,culture,pos,0.999446451663971,unknown
demo_002555,demo,2023-01-12 01:14:00+00:00,"Went last weekend and Kemptown is fine during the day, I'd be more careful late at night.",kemptown,node/1155702188,Sallis Benney Theatre,50.82424,-0.1350903,culture,pos,0.995184361934662,unknown
demo_006230,demo,2023-01-12 02:26:00+00:00,"Popped in on the way home, genuinely lovely service at Victoria Gardens, they went out of their way to help.",north_laine,way/3991833,Victoria Gardens,50.8243195,-0.1364099,outdoor,pos,0.999134123325348,service
demo_005969,demo,2023-01-12 06:48:00+00:00,"To be fair, prices at Helter Skelter are about what you'd expect for Seafront these days. On top of that, typical changeable weather on the Seafront, four seasons in an afternoon.",seafront,way/139322752,Helter Skelter,50.8155501,-0.1376066,culture,neu,-0.5823866724967957,unknown
demo_007467,demo,2023-01-12 14:01:00+00:00,"Actually found parking near $1 Deep without circling for an hour, small miracle although bins overflowing all along the street in Hove again.",hove,node/7023501334,$1 Deep,50.8302722,-0.1762455,food,neu,-0.9836680293083192,parking
demo_003528,demo,2023-01-12 17:03:00+00:00,"Quick update for anyone asking: did a bit of shopping around Jump The Gun, usual mix of stuff.",north_laine,node/7236941509,Jump The Gun,50.8253114,-0.1392414,shopping,neg,-0.9961757659912108,unknown
demo_006351,demo,2023-01-12 23:48:00+00:00,"Honestly, typical changeable weather on the Seafront, four seasons in an afternoon.",seafront,way/934674698,Franco's Osteria,50.8249765,-0.175414,food,neu,0.9118286967277528,unknown
demo_004974,demo,2023-01-13 02:51:00+00:00,"Bit of a mixed one: North Laine was busy, about what you'd expect for the time of year. North Laine is much like it always was, familiar in a comfortable way.",north_laine,way/138143365,Immediate,50.8275466,-0.1376697,shopping,pos,0.999009370803833,crowds
demo_000513,demo,2023-01-13 15:04:00+00:00,"Been going for years and parking in Kemptown is a nightmare, drove around for 45 minutes. Also, paid a lot at Kooshk for a tiny portion that tasted of nothing.",kemptown,node/6603689920,Kooshk,50.819625,-0.1284923,food,neg,-0.9992951154708862,food
demo_007619,demo,2023-01-13 21:22:00+00:00,"Went last weekend and Wabi Sabi felt soulless and corporate, could be anywhere in the country.",hove,node/10967511484,Wabi Sabi,50.8280094,-0.1720381,food,neu,-0.9899852275848388,unknown
demo_002533,demo,2023-01-14 03:45:00+00:00,"The bars around Buddies Plaice are consistently good, proper friendly crowd. brilliant night out in The Lanes, Buddies Plaice was exactly what we needed.",the_lanes,node/4569143979,Buddies Plaice,50.8204896,-0.1432524,food,pos,0.9998677968978882,atmosphere
demo_004976,demo,2023-01-14 11:59:00+00:00,"Brilliant night out in The Lanes, Afinity Bar was exactly what we needed. That said, the prices at Afinity Bar are getting ridiculous, complete rip off for what it is.",the_lanes,node/2428580294,Afinity Bar,50.8209675,-0.1361202,nightlife,neg,-0.9972196817398072,price
demo_002056,demo,2023-01-14 22:49:00+00:00,"Been going for years and the noise in Kemptown at night is unbearable, shouting until 3am every weekend.",kemptown,way/137685575,Pavel,50.8206989,-0.1324274,food,neu,-0.9933212399482728,noise
demo_000950,demo,2023-01-16 01:34:00+00:00,"Gorgeous day on the Seafront, sea was calm and the light was perfect. That said, the atmosphere in Seafront has really gone downhill in the last couple of years.",seafront,relation/11954703,The Golden Spiral,50.8211295,-0.1497585,culture,pos,0.9976850748062134,atmosphere
demo_005105,demo,2023-01-16 11:13:00+00:00,"The Lanes was busy, about what you'd expect for the time of year.",the_lanes,node/1116658747,Zara,50.8233632,-0.1452685,shopping,neu,-0.9918477535247804,crowds
demo_004241,demo,2023-01-16 11:26:00+00:00,"Not sure if it's just me but Lavender Room does the best coffee and pastries in North Laine, no contest. That said, service at Lavender Room was chaotic, drinks arrived after we'd finished eating.",north_laine,node/4570482911,Lavender Room,50.824058,-0.1401267,shopping,neu,-0.8343870639801025,service
demo_002051,demo,2023-01-16 11:57:00+00:00,"Prices at Nisa Local are about what you'd expect for Seafront these days and Seafront is about as clean as any city centre, which isn't saying much.",seafront,node/1508728786,Nisa Local,50.8251264,-0.1766234,shopping,neg,-0.995498538017273,cleanliness
demo_007779,demo,2023-01-16 14:18:00+00:00,"Honestly, North Laine is turning into the same chains you get everywhere.",north_laine,node/6514916353,Bluebelle & Co,50.8283216,-0.1383151,shopping,neu,-0.993427276611328,unknown
demo_008688,demo,2023-01-16 21:07:00+00:00,"Went last weekend and litter everywhere near Kemptown Klub, nobody seems to collect it.",kemptown,node/8505107614,Kemptown Klub,50.8176186,-0.1181675,nightlife,neg,-0.9994223117828368,cleanliness
demo_003107,demo,2023-01-17 01:33:00+00:00,"Popped in on the way home, waited forty minutes at Luigi before anyone even took our order and paid a lot at Luigi for a tiny portion that tasted of nothing.",north_laine,node/10301121966,Luigi,50.8250802,-0.1396084,shopping,neg,-0.9995601773262024,food
demo_003402,demo,2023-01-17 06:11:00+00:00,"Went last weekend and litter everywhere near Wild River, nobody seems to collect it.",seafront,way/139324649,Wild River,50.8149414,-0.136579,culture,neg,-0.999333679676056,cleanliness
demo_001622,demo,2023-01-17 13:51:00+00:00,"Not sure if it's just me but busy but manageable in The Lanes, nice to see the place alive again.",the_lanes,node/12989077575,Lost in the Lanes,50.8213544,-0.1405785,food,pos,0.9997695088386536,crowds
demo_000716,demo,2023-01-17 15:21:00+00:00,"Quick update for anyone asking: Hove is much like it always was, familiar in a comfortable way.",hove,node/13158360262,Tio International,50.8332016,-0.185382,shopping,pos,0.9992538094520568,unknown
demo_004445,demo,2023-01-17 16:04:00+00:00,"Quick update for anyone asking: Seafront looked properly clean this week, someone's clearly been on it, but felt a bit dodgy walking through Seafront late, lots of drunk people about.",seafront,way/934674706,The Neptune,50.8249954,-0.1759578,nightlife,neg,-0.9991434812545776,safety
demo_005815,demo,2023-01-17 16:15:00+00:00,"Love the atmosphere in Seafront, it has a character you don't get anywhere else.",seafront,way/936946174,The Sussex,50.8254503,-0.1762254,nightlife,neu,0.9935867190361024,atmosphere
demo_004700,demo,2023-01-17 21:58:00+00:00,"There's a proper community feel around The Neptune, everyone knows each other.",seafront,way/934674706,The Neptune,50.8249954,-0.1759578,nightlife,pos,0.999619960784912,unknown
demo_003325,demo,2023-01-17 23:52:00+00:00,"Not sure if it's just me but went to FitLab for lunch, food was fine, nothing remarkable either way. Seafront is about as clean as any city centre, which isn't saying much.",seafront,node/4947460768,FitLab,50.8252742,-0.1783793,outdoor,neu,-0.988925278186798,food
demo_008852,demo,2023-01-18 13:49:00+00:00,Paid a lot at The Bystander Cafe for a tiny portion that tasted of nothing.,north_laine,node/11097661159,The Bystander Cafe,50.8288019,-0.1418405,cafe,neg,-0.9995033740997314,food
demo_008177,demo,2023-01-18 21:14:00+00:00,"Bit of a mixed one: typical changeable weather on the Seafront, four seasons in an afternoon. Also, seagulls doing seagull things on the Seafront, as always.",seafront,node/1527601349,Donut Factory,50.8157504,-0.136975,food,neu,-0.9733919501304626,unknown
demo_000617,demo,2023-01-20 00:45:00+00:00,"Bit of a mixed one: the food at Nisa Local was bland and lukewarm, sent half of it back. Seafront smells of stale beer and worse by Sunday morning.",seafront,node/1508728786,Nisa Local,50.8251264,-0.1766234,shopping,neg,-0.9997424483299256,food
demo_004295,demo,2023-01-20 03:04:00+00:00,"Not sure if it's just me but love the atmosphere in North Laine, it has a character you don't get anywhere else.",north_laine,node/6203842011,Cupp,50.8239184,-0.1399513,cafe,neu,0.9667603969573976,atmosphere
demo_000279,demo,2023-01-20 15:08:00+00:00,"The Lanes was busy, about what you'd expect for the time of year. prices at trampoline are about what you'd expect for The Lanes these days.",the_lanes,way/139282150,trampoline,50.8191388,-0.1371564,culture,neu,-0.991686761379242,crowds
demo_001174,demo,2023-01-21 08:36:00+00:00,Staff at Lewis At The Wick were friendly and attentive without hovering.,hove,node/7023540465,Lewis At The Wick,50.8260812,-0.1617197,food,pos,0.9968934059143066,service
demo_003454,demo,2023-01-21 11:17:00+00:00,"Been going for years and The Lanes has lost its character, all the interesting places have closed. the staff at Ana Chic were rude and clearly couldn't be bothered.",the_lanes,node/7019515771,Ana Chic,50.82113,-0.1405981,shopping,neg,-0.9984402060508728,service
demo_002268,demo,2023-01-21 12:13:00+00:00,"Popped in on the way home, went out in Kemptown, decent enough night, nothing special. parked in the multi storey for Kemptown, expensive but at least it exists.",kemptown,node/2425775415,Suriya's Thai Kitchen,50.8176651,-0.1182998,food,neu,0.9941684007644652,price
demo_002274,demo,2023-01-21 21:31:00+00:00,"Not sure if it's just me but North Laine was absolutely rammed, couldn't move for tourists.",north_laine,node/6605640574,Black Pearl,50.8264044,-0.1385489,shopping,neg,-0.9993239641189576,crowds
demo_002324,demo,2023-01-21 22:16:00+00:00,"Honestly, service at Drury Tea & Coffee was chaotic, drinks arrived after we'd finished eating. Also, got a ticket outside Drury Tea & Coffee within ten minutes, absolute joke.",hove,node/8669463666,Drury Tea & Coffee,50.8310525,-0.1884246,cafe,neu,-0.9902426600456238,service
demo_003152,demo,2023-01-22 00:08:00+00:00,"First time visiting and Kingsway Hotel felt soulless and corporate, could be anywhere in the country.",seafront,way/936946162,Kingsway Hotel,50.8256349,-0.1779897,accommodation,neu,-0.9839637875556946,unknown
demo_005807,demo,2023-01-22 00:57:00+00:00,"Been going for years and the prices at Twist are getting ridiculous, complete rip off for what it is.",seafront,way/139324648,Twist,50.8149262,-0.1369011,culture,neg,-0.9995923638343812,price
demo_007274,demo,2023-01-22 04:22:00+00:00,"Bit of a mixed one: cheap and cheerful in The Lanes, you can still eat well without spending a fortune.",the_lanes,node/1527329670,Crepes,50.8191786,-0.1362854,food,neu,0.982918381690979,price
demo_006510,demo,2023-01-22 06:42:00+00:00,"To be fair, ordered the special at The Neptune and it arrived overcooked and dry.",seafront,way/934674706,The Neptune,50.8249954,-0.1759578,nightlife,neg,-0.9996103644371032,unknown
demo_003770,demo,2023-01-22 10:46:00+00:00,"Bit of a mixed one: service at English's of Brighton was chaotic, drinks arrived after we'd finished eating. On top of that, honestly the meal at English's of Brighton was forgettable, wouldn't order it again.",the_lanes,node/4574887844,English's of Brighton,50.8211688,-0.1394764,food,neg,-0.997675597667694,food
demo_000622,demo,2023-01-22 10:55:00+00:00,Been going for years and Hove on a sunny afternoon is genuinely one of my favourite places to be.,hove,node/1123981195,Moss Bros,50.827995,-0.1740466,shopping,pos,0.9998024106025696,unknown
demo_000707,demo,2023-01-22 11:33:00+00:00,"Went last weekend and Kitchen Franchise felt soulless and corporate, could be anywhere in the country although really solid menu at Kitchen Franchise, everything came out fresh and well seasoned.",the_lanes,node/6510522450,Kitchen Franchise,50.8213073,-0.1412019,food,pos,0.9990413784980774,food
demo_001110,demo,2023-01-22 13:48:00+00:00,"Brilliant night out in Kemptown, Legends was exactly what we needed.",kemptown,node/1458845357,Legends,50.8196569,-0.1328778,nightlife,pos,0.999800741672516,nightlife
demo_007052,demo,2023-01-22 15:12:00+00:00,"Been going for years and Kemptown is fine during the day, I'd be more careful late at night. standard menu at The Queery, does the job if you're hungry.",kemptown,node/12732060602,The Queery,50.8216145,-0.1343975,shopping,neu,0.9874579310417176,food
demo_002010,demo,2023-01-22 16:53:00+00:00,Can't sleep with the racket coming off the street in Kemptown.,kemptown,node/2711851689,Volks,50.8192996,-0.1327966,nightlife,neu,-0.6325930953025818,unknown
demo_007377,demo,2023-01-22 21:43:00+00:00,"First time visiting and did a bit of shopping around Cut Your Wolf Loose, usual mix of stuff. On top of that, prices at Cut Your Wolf Loose are about what you'd expect for North Laine these days.",north_laine,node/11169135202,Cut Your Wolf Loose,50.8281285,-0.1378387,nightlife,neu,-0.7845205068588257,unknown
demo_007718,demo,2023-01-22 23:28:00+00:00,"Not sure if it's just me but got a ticket outside Jenkins within ten minutes, absolute joke. On top of that, the amount of rubbish left in Hove after the weekend is disgraceful.",hove,node/6518451670,Jenkins,50.8308828,-0.1729697,shopping,neg,-0.9997531771659852,cleanliness
demo_002207,demo,2023-01-23 04:34:00+00:00,Bit of a mixed one: staff at Daily Basket were friendly and attentive without hovering.,hove,node/13831971653,Daily Basket,50.8334883,-0.1876184,shopping,neu,0.9010710120201112,service
demo_001342,demo,2023-01-23 09:49:00+00:00,"Grey, wet and freezing on the Seafront, place feels abandoned in winter.",seafront,way/139322749,Cup+Saucers,50.8155864,-0.1372569,culture,neg,-0.9996192455291748,unknown
demo_008923,demo,2023-01-23 14:47:00+00:00,"Honestly, Seafront looked properly clean this week, someone's clearly been on it.",seafront,way/497022471,Hove Lawns,50.8234832,-0.1646434,outdoor,neu,-0.758485734462738,cleanliness
demo_008435,demo,2023-01-23 23:06:00+00:00,"Popped in on the way home, Kemptown still has the best nightlife in the city, nothing comes close. On top of that, surprisingly quiet corner of Kemptown, you can actually have a conversation.",kemptown,node/2425781211,Kemp Thai,50.8178682,-0.1184508,food,pos,0.9978246688842772,noise
demo_004908,demo,2023-01-24 03:55:00+00:00,"Actually found parking near Figaros without circling for an hour, small miracle.",kemptown,node/2428541807,Figaros,50.8215321,-0.1346984,cafe,neu,0.9848328232765198,parking
demo_002458,demo,2023-01-24 10:26:00+00:00,"To be fair, Seafront was busy, about what you'd expect for the time of year.",seafront,way/934674702,Capri Ices,50.8249348,-0.1750872,cafe,neu,-0.9848392009735109,crowds
demo_001698,demo,2023-01-24 16:30:00+00:00,"The food at Sixteen was bland and lukewarm, sent half of it back.",north_laine,way/138143345,Sixteen,50.8276645,-0.1378706,cafe,neg,-0.9996209144592284,food
demo_005615,demo,2023-01-24 22:39:00+00:00,"Honestly, seagulls doing seagull things on the Seafront, as always. Also, standard menu at Sugardough, does the job if you're hungry.",seafront,way/934674697,Sugardough,50.8249874,-0.1754989,cafe,neu,0.9911593794822692,food
demo_007170,demo,2023-01-25 07:15:00+00:00,"Been going for years and honestly the meal at The Shop Café was forgettable, wouldn't order it again.",kemptown,node/1510630524,The Shop Café,50.8199621,-0.1345166,cafe,neg,-0.9986234903335572,food
demo_008658,demo,2023-01-25 08:00:00+00:00,"Bit of a mixed one: another independent shop in North Laine has closed, rents are killing them. North Laine has lost its character, all the interesting places have closed.",north_laine,node/4319037890,Gallery40,50.8270417,-0.1398489,culture,neg,-0.9998047947883606,unknown
demo_008196,demo,2023-01-25 19:39:00+00:00,"Not sure if it's just me but Seafront has lost its character, all the interesting places have closed. On top of that, grey, wet and freezing on the Seafront, place feels abandoned in winter.",seafront,node/2469884932,The Bali Brasserie,50.8245307,-0.1668924,food,neg,-0.9997697472572328,unknown
demo_002357,demo,2023-01-25 20:58:00+00:00,"Bit of a mixed one: Stoneham Bakehouse has such a warm, welcoming vibe, felt at home straight away, but service at Stoneham Bakehouse was chaotic, drinks arrived after we'd finished eating.",hove,node/8196260630,Stoneham Bakehouse,50.8347982,-0.1854262,cafe,neu,0.9273176193237304,atmosphere
demo_007982,demo,2023-01-26 10:11:00+00:00,"The Lanes was busy, about what you'd expect for the time of year. Also, prices at Kitchen Franchise are about what you'd expect for The Lanes these days.",the_lanes,node/6510522450,Kitchen Franchise,50.8213073,-0.1412019,food,neu,-0.9903998970985411,crowds
demo_006188,demo,2023-01-26 17:46:00+00:00,"Been going for years and another independent shop in North Laine has closed, rents are killing them. On top of that, paid a lot at Tiger Bites Pig for a tiny portion that tasted of nothing.",north_laine,node/6515018205,Tiger Bites Pig,50.8269362,-0.1361584,food,neg,-0.9997097849845886,food
demo_001128,demo,2023-01-27 20:13:00+00:00,"Surprisingly good value at The Neptune considering how central Seafront is. Also, gorgeous day on the Seafront, sea was calm and the light was perfect.",seafront,way/934674706,The Neptune,50.8249954,-0.1759578,nightlife,pos,0.9998760223388672,price
demo_005973,demo,2023-01-29 10:07:00+00:00,"To be fair, North Laine is much like it always was, familiar in a comfortable way.",north_laine,node/9239118061,L'Atelier du Vin,50.8246475,-0.1439179,nightlife,pos,0.9996322393417358,unknown
demo_003858,demo,2023-01-29 13:10:00+00:00,Avoid Seafront at weekends unless you enjoy being shoved along the pavement.,seafront,way/111835527,The Ginger Pig,50.8261257,-0.1801261,food,neg,-0.9963770508766174,unknown
demo_003631,demo,2023-01-29 22:55:00+00:00,"Honestly, went to Canham & Sons for lunch, food was fine, nothing remarkable either way.",hove,node/1123948368,Canham & Sons,50.8272396,-0.1681636,food,neu,0.953009068965912,food
demo_000775,demo,2023-01-30 01:53:00+00:00,"Seafront was busy, about what you'd expect for the time of year.",seafront,way/1156572631,Upside Down House,50.8215296,-0.1521158,culture,neg,-0.9971203804016112,crowds
demo_005775,demo,2023-01-30 07:51:00+00:00,"Busy but manageable in North Laine, nice to see the place alive again.",north_laine,node/1236331057,Pussy,50.8259259,-0.1388944,shopping,pos,0.9997908473014832,crowds
demo_005210,demo,2023-01-30 10:13:00+00:00,"Popped in on the way home, ordered the special at The Ginger Pig and it arrived overcooked and dry. Downside is busy but manageable in Seafront, nice to see the place alive again.",seafront,way/111835527,The Ginger Pig,50.8261257,-0.1801261,food,neu,-0.5322216749191284,crowds
demo_008209,demo,2023-01-30 10:56:00+00:00,"Quick update for anyone asking: busy but manageable in North Laine, nice to see the place alive again.",north_laine,node/6409549483,The Roastery,50.8275735,-0.1379017,cafe,pos,0.9994962215423584,crowds
demo_003763,demo,2023-01-30 11:08:00+00:00,"Parked in the multi storey for Kemptown, expensive but at least it exists and prices at 4 Seasons Guest House are about what you'd expect for Kemptown these days.",kemptown,node/2424545904,4 Seasons Guest House,50.8204366,-0.1302584,accommodation,neu,0.9925550818443298,price
demo_003421,demo,2023-01-30 12:40:00+00:00,"Popped in on the way home, The Lanes smells of stale beer and worse by Sunday morning although Lost in the Lanes has such a warm, welcoming vibe, felt at home straight away.",the_lanes,node/12989077575,Lost in the Lanes,50.8213544,-0.1405785,food,neu,0.7572267651557922,atmosphere
demo_008453,demo,2023-01-30 13:26:00+00:00,"Quick update for anyone asking: actually found parking near The Freemason's without circling for an hour, small miracle. surprisingly good value at The Freemason's considering how central Hove is.",hove,node/1123948335,The Freemason's,50.825684,-0.1596926,nightlife,pos,0.997802436351776,price
demo_003960,demo,2023-01-30 16:28:00+00:00,"Popped in on the way home, another independent shop in North Laine has closed, rents are killing them. Also, ordered the special at Puzzle Bored and it arrived overcooked and dry.",north_laine,node/11239653064,Puzzle Bored,50.8238305,-0.139141,cafe,neg,-0.9997125267982484,unknown
demo_005494,demo,2023-01-31 01:30:00+00:00,"Honestly, Kemptown is about as clean as any city centre, which isn't saying much. On top of that, went to Camelford Arms for lunch, food was fine, nothing remarkable either way.",kemptown,way/137725380,Camelford Arms,50.8201153,-0.132818,nightlife,neu,0.7622429132461548,food
demo_008172,demo,2023-01-31 09:27:00+00:00,"To be fair, Kemptown smells of stale beer and worse by Sunday morning.",kemptown,node/2428520922,Chutney Indian Take-away,50.8213236,-0.1348041,food,neg,-0.9997195601463318,unknown
